"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,1,"parity",9,NA,NA,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,122447
"2","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,2,"parity",1,69,376.999999862164,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,123325
"3","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,3,"parity",4,69,34.9999996833503,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,123866
"4","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,4,"parity",7,73,132.999999914318,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,124504
"5","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,5,"parity",8,69,38.9999998733401,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,125044
"6","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,6,"parity",9,69,108.000000007451,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,125656
"7","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",2,69,115.999999921769,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,126273
"8","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",4,69,110.000000335276,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,126886
"9","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,1,"magnitude",7,73,148.999999742955,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,129220
"10","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,2,"magnitude",8,69,60.0000000558794,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,129780
"11","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,3,"parity",3,69,106.000000145286,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,130388
"12","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,4,"parity",4,69,94.0000000409782,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,130985
"13","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,5,"magnitude",2,69,81.0000002384186,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,131571
"14","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,6,"parity",7,69,57.0000000298023,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,132139
"15","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,7,"parity",1,69,76.0000003501773,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,132716
"16","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,8,"magnitude",4,69,116.99999962002,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,133333
"17","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,9,"magnitude",2,69,97.9999997653067,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,133934
"18","btIAjxsyoQTuC7g",31,"female","learning",0,"deck2",NA,NA,NA,NA,10,"parity",2,69,95.9999999031425,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,134533
"19","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,1,"magnitude",3,73,155.00000026077,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,136437
"20","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,2,"parity",4,73,98.9999999292195,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,137040
"21","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,3,"magnitude",4,73,98.9999999292195,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,137639
"22","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,4,"parity",4,73,78.0000002123415,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,138220
"23","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,5,"parity",4,73,91.9999997131526,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,138814
"24","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,6,"magnitude",7,73,98.000000230968,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,139415
"25","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,7,"parity",3,73,80.9999997727573,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,139999
"26","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,8,"magnitude",6,73,83.0000001005828,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,140584
"27","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,9,"parity",6,73,94.0000000409782,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,141180
"28","btIAjxsyoQTuC7g",31,"female","learning",0,"deck3",NA,NA,NA,NA,10,"magnitude",7,73,75.999999884516,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,141757
"29","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,1,"magnitude",7,69,50.9999999776483,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,143548
"30","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,2,"magnitude",8,69,88.9999996870756,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,144137
"31","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,3,"magnitude",3,69,77.0000000484288,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,144716
"32","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,4,"magnitude",4,69,101.000000257045,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,145318
"33","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,5,"magnitude",2,69,53.0000003054738,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,145875
"34","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,6,"parity",3,69,57.9999997280538,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,146438
"35","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,7,"parity",9,69,100.000000093132,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,147042
"36","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,8,"parity",2,69,83.9999997988343,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,147629
"37","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,9,"parity",6,69,108.000000007451,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,148239
"38","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,10,"parity",4,69,64.0000002458692,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,148821
"39","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,11,"parity",8,69,75.0000001862645,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,149397
"40","btIAjxsyoQTuC7g",31,"female","learning",0,"deck4",NA,NA,NA,NA,12,"parity",4,69,81.9999999366701,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,149981
"41","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,1,"magnitude",4,69,46.000000089407,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,151660
"42","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,2,"parity",9,69,83.9999997988343,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,152246
"43","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,3,"parity",6,69,125,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,152871
"44","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,4,"parity",4,69,104.999999981374,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,153478
"45","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,5,"magnitude",8,69,54.0000000037253,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,154034
"46","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,6,"parity",7,69,114.000000059605,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,154651
"47","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,7,"parity",9,69,72.999999858439,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,155226
"48","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,8,"parity",2,69,41.0000002011657,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,155769
"49","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,9,"magnitude",4,69,129.999999888241,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,156401
"50","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,10,"magnitude",7,69,67.0000002719462,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,156969
"51","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,11,"parity",7,69,55.9999998658895,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,157530
"52","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,12,"parity",6,69,80.9999997727573,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,158113
"53","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,13,"magnitude",7,69,55.0000001676381,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,158669
"54","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,14,"magnitude",1,69,111.999999731779,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,159282
"55","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,15,"parity",7,69,72.0000001601875,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,159855
"56","btIAjxsyoQTuC7g",31,"female","learning",0,"deck5",NA,NA,NA,NA,16,"magnitude",3,69,78.0000002123415,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,160434
"57","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,1,"magnitude",2,69,95.9999999031425,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,161772
"58","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,2,"parity",7,69,24.9999999068677,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,162342
"59","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,3,"magnitude",1,69,104.000000283122,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,162951
"60","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,4,"parity",7,69,77.0000000484288,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,163531
"61","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,5,"magnitude",9,69,58.9999998919666,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,164091
"62","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,6,"magnitude",9,69,74.0000000223517,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,164666
"63","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,7,"parity",8,69,68.000000435859,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,165237
"64","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,8,"magnitude",8,69,90.0000003166497,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,165830
"65","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,9,"parity",4,69,87.9999999888241,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,166421
"66","btIAjxsyoQTuC7g",31,"female","learning",0,"deck6",NA,NA,NA,NA,10,"magnitude",7,69,58.0000001937151,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,166981
"67","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,1,"parity",9,69,55.9999998658895,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,168262
"68","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,2,"parity",6,69,60.0000000558794,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,168823
"69","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,3,"parity",8,69,98.9999999292195,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,169422
"70","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,4,"parity",1,69,75.0000001862645,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,170000
"71","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,5,"parity",4,69,80.0000000745058,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,170582
"72","btIAjxsyoQTuC7g",31,"female","learning",0,"deck1",NA,NA,NA,NA,6,"parity",4,69,25.000000372529,"Feeling ",5,"yes","good","very nice",6,7,8,8,7,7,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,4,4,2,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,171112
