"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,1,"magnitude",6,69,30.0000002607703,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,136318
"2","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,2,"magnitude",3,69,290.000000037253,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,137122
"3","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,3,"parity",7,69,165.000000037253,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,137787
"4","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,4,"parity",7,69,297.999999951571,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,138586
"5","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,5,"parity",6,73,113.000000361353,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,139234
"6","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,6,"parity",6,73,188.000000081956,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,139923
"7","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,7,"parity",3,73,189.999999944121,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,140614
"8","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck1",NA,NA,NA,NA,8,"parity",3,73,94.9999997392297,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,141248
"9","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,1,"magnitude",9,73,83.0000001005828,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,143703
"10","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,2,"magnitude",1,73,104.000000283122,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,144343
"11","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,3,"parity",2,73,143.000000156462,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,144990
"12","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,4,"parity",1,73,138.999999966472,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,145631
"13","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,5,"parity",1,73,142.999999690801,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,146279
"14","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,6,"parity",6,69,12.9999998025596,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,146794
"15","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,7,"magnitude",4,69,145.000000018626,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,147441
"16","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,8,"parity",4,69,163.99999987334,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,148110
"17","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,9,"magnitude",8,69,168.00000006333,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,148779
"18","SQuYoyRZFvImgUJ",29,"Female","learning",0,"deck2",NA,NA,NA,NA,10,"parity",7,69,154.999999795109,"Good","White","good","good","no",5,3,7,3,7,5,1,0,1,3,0,1,3,1,3,1,2,4,0,1,1,0,1,1,4,3,0,3,4,3,4,3,3,0,3,2,4,2,3,1,4,3,3,2,3,4,2,4,2,4,1,149436
