"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed","IP"
"73975","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,1,"parity",7,73,2348,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,400942,NA
"73976","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,2,"parity",4,73,1377,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,402830,NA
"73977","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,3,"parity",9,73,731,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,404069,NA
"73978","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,4,"parity",9,73,634,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,405214,NA
"73979","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,5,"parity",3,73,807,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,406525,NA
"73980","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,6,"parity",4,73,716,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,407750,NA
"73981","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,7,"parity",2,73,950,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,409213,NA
"73982","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",4,69,1023,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,410742,NA
"73983","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,9,"magnitude",4,69,775,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,412030,NA
"73984","Sb8CTe7gqWdu","37","Female","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",3,69,1455,"Yes","Yes","I tried to choose the shorter lenth or with Bar ones","Yes I identified the Bar / progress ones are shorter and chose them often","The Non-progress bar ones are mostly longer... ",7,7,7,3,3,3,4,3,1,1,1,4,1,1,1,3,3,1,3,3,3,1,1,1,3,3,4,4,3,4,4,4,4,4,4,1,3,1,3,1,3,4,3,1,4,3,3,1,4,3,4,413990,NA
