"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"26101",43201,"oOlwFBdUpLIc",1,1,"parity",NA,9,73,2111.49500007741,470455,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26102",43202,"oOlwFBdUpLIc",1,1,"parity","repeat",9,73,963.459999999031,471920,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26103",43203,"oOlwFBdUpLIc",1,1,"parity","repeat",9,73,771.669999929145,473193,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26104",43204,"oOlwFBdUpLIc",1,1,"parity","repeat",8,69,878.264999948442,474573,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26105",43205,"oOlwFBdUpLIc",1,1,"magnitude","switch",2,69,932.199999922886,476008,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26106",43206,"oOlwFBdUpLIc",1,1,"magnitude","repeat",8,69,820.665000006557,477331,73,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26107",43207,"oOlwFBdUpLIc",1,1,"magnitude","repeat",1,73,847.809999948367,478681,69,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26108",43208,"oOlwFBdUpLIc",1,1,"magnitude","repeat",7,73,876.384999835864,480059,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26109",43209,"oOlwFBdUpLIc",1,1,"magnitude","repeat",6,69,850.175000028685,481411,73,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26110",43210,"oOlwFBdUpLIc",1,1,"parity","switch",4,69,1249.67500008643,483162,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26111",43211,"oOlwFBdUpLIc",1,1,"parity","repeat",3,73,929.140000138432,484594,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26112",43212,"oOlwFBdUpLIc",1,1,"parity","repeat",2,69,968.455000082031,486064,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26113",43213,"oOlwFBdUpLIc",1,1,"parity","repeat",2,69,979.270000010729,487546,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26114",43214,"oOlwFBdUpLIc",1,1,"parity","repeat",7,73,923.955000005662,488973,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26115",43215,"oOlwFBdUpLIc",1,1,"parity","repeat",7,73,663.669999921694,490138,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26116",43216,"oOlwFBdUpLIc",1,1,"parity","repeat",1,73,825.084999902174,491464,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26117",43217,"oOlwFBdUpLIc",1,1,"parity","repeat",9,69,753.804999869317,492721,73,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26118",43218,"oOlwFBdUpLIc",1,1,"parity","repeat",9,73,739.525000099093,493962,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26119",43219,"oOlwFBdUpLIc",1,1,"parity","repeat",9,73,773.800000082701,495238,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26120",43220,"oOlwFBdUpLIc",1,1,"parity","repeat",4,69,989.495000103489,496729,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26121",43221,"oOlwFBdUpLIc",1,1,"magnitude","switch",4,69,914.589999942109,498145,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26122",43222,"oOlwFBdUpLIc",1,1,"magnitude","repeat",7,73,987.979999976233,499634,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26123",43223,"oOlwFBdUpLIc",1,1,"magnitude","repeat",9,69,1235.84500001743,501371,73,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26124",43224,"oOlwFBdUpLIc",1,1,"magnitude","repeat",9,69,882.104999851435,502755,73,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26125",43225,"oOlwFBdUpLIc",1,1,"magnitude","repeat",3,73,503.43000004068,503762,69,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26126",43226,"oOlwFBdUpLIc",1,1,"magnitude","repeat",9,73,594.084999989718,504859,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26127",43227,"oOlwFBdUpLIc",1,1,"magnitude","repeat",1,73,2366.78500007838,507727,69,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26128",43228,"oOlwFBdUpLIc",1,1,"magnitude","repeat",8,69,829.430000158027,509058,73,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26129",43229,"oOlwFBdUpLIc",1,1,"magnitude","repeat",2,69,795.559999998659,510355,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26130",43230,"oOlwFBdUpLIc",1,1,"magnitude","repeat",4,69,834.81499995105,511696,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26131",43231,"oOlwFBdUpLIc",1,1,"magnitude","repeat",1,73,989.300000015646,513187,69,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26132",43232,"oOlwFBdUpLIc",1,1,"magnitude","repeat",2,73,751.509999856353,514441,69,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26133",43233,"oOlwFBdUpLIc",1,1,"magnitude","repeat",4,69,870.775000192225,515815,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26134",43234,"oOlwFBdUpLIc",1,1,"magnitude","repeat",7,73,1140.5200001318,517457,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26135",43235,"oOlwFBdUpLIc",1,1,"magnitude","repeat",2,69,1287.19499986619,519246,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26136",43236,"oOlwFBdUpLIc",1,1,"magnitude","repeat",2,69,1076.26500003971,520824,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26137",43237,"oOlwFBdUpLIc",1,1,"magnitude","repeat",4,69,1261.83500001207,522589,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26138",43238,"oOlwFBdUpLIc",1,1,"magnitude","repeat",1,73,1161.21999989264,524252,69,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26139",43239,"oOlwFBdUpLIc",1,1,"magnitude","repeat",2,69,1093.06999994442,525847,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26140",43240,"oOlwFBdUpLIc",1,1,"magnitude","repeat",2,69,1060.47999998555,527410,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26141",43241,"oOlwFBdUpLIc",1,1,"magnitude","repeat",9,73,891.500000143424,528805,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26142",43242,"oOlwFBdUpLIc",1,1,"magnitude","repeat",7,73,1809.75999985822,531116,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26143",43243,"oOlwFBdUpLIc",1,1,"magnitude","repeat",9,69,1231.57000006177,532849,73,0,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26144",43244,"oOlwFBdUpLIc",1,1,"magnitude","repeat",7,73,912.634999956936,534263,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26145",43245,"oOlwFBdUpLIc",1,1,"magnitude","repeat",3,69,1293.42000000179,536058,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26146",43246,"oOlwFBdUpLIc",1,1,"parity","switch",2,69,1363.29000000842,537924,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26147",43247,"oOlwFBdUpLIc",1,1,"parity","repeat",1,73,957.639999920502,539384,73,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26148",43248,"oOlwFBdUpLIc",1,1,"parity","repeat",3,NA,NA,542387,73,NA,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26149",43249,"oOlwFBdUpLIc",1,1,"parity","repeat",6,69,1801.81000009179,544691,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
"26150",43250,"oOlwFBdUpLIc",1,1,"parity","repeat",6,69,903.579999925569,546096,69,1,"blue","29","MALE","NICE SOME TRICKY ","YES","YES","NO",9,8,8,9,8,7,9,8,8,9,"Moderate Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement",NA
